nlu,id,start,stop,spkr,VAL,MET,DIV,DUD,TOP,ITEM,GDA,NDA,CONT,FRA,make_offer,ask_offer,accept,reject,ask_preference,share_preference,assistant_record,user_record,assistant_lamp,user_lamp,assistant_painting,user_painting,utt,context_str,dialogue_num
NaN,"""seg023-0009""",116.5,119.66,"""B""","""[]""","""[]""","""['R1']""","""['R1:2']""","""[]""","""[]""","""['Statement']""","""['offer-DIV']""","""[]""","""[]""",1,0,0,0,0,0,0,0,0,0,0,0,"""okay this is what we're gonna do i'm gonna give you one i'll take two""",NaN,23
NaN,"""seg023-0013""",120.09,120.67,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""i'll take""","""Bob: okay this is what we're gonna do i'm gonna give you one i'll take two""",23
NaN,"""seg023-0017""",123.15,123.92,"""A""","""[]""","""[]""","""['R2 L0']""","""['R1:2 L2:0 P0:1']""","""[]""","""[]""","""['Statement']""","""['offer-DIV']""","""[]""","""[]""",1,0,0,0,0,0,0,0,0,0,0,0,"""so i'm taking these""","""Bob: okay this is what we're gonna do i'm gonna give you one i'll take two\nBob: i'll take""",23
NaN,"""seg023-0021""",124.74,126.2,"""A""","""[]""","""[]""","""['R2']""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['you-made-offer-DIV']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""since you're letting me have one""","""Bob: okay this is what we're gonna do i'm gonna give you one i'll take two\nBob: i'll take\nAlice: so i'm taking these""",23
"""nlu1""","""seg023-0025""",126.45,129.38,"""A""","""['negative']""","""[]""","""['R2']""","""[]""","""[]""","""[]""","""[]""","""['confirm-CONT']""","""['you-made-offer-DIV']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""since you're letting me have one""","""Bob: okay this is what we're gonna do i'm gonna give you one i'll take two\nBob: i'll take\nAlice: so i'm taking these\nAlice: since you're letting me have one""",23
"""nlu2""","""seg023-0025""",126.45,129.38,"""A""","""[]""","""['laughter-in-segment']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""<laughter>""","""Bob: okay this is what we're gonna do i'm gonna give you one i'll take two\nBob: i'll take\nAlice: so i'm taking these\nAlice: since you're letting me have one\nAlice: since you're letting me have one""",23
NaN,"""seg023-0029""",129.01,129.7,"""B""","""[]""","""['internal-pause']""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""but bernita""","""Bob: i'll take\nAlice: so i'm taking these\nAlice: since you're letting me have one\nAlice: since you're letting me have one <laughter>""",23
NaN,"""seg023-0033""",130.125,131.88,"""B""","""['negative']""","""[]""","""['R1 L2 P0']""","""[]""","""[]""","""[]""","""['Statement']""","""[]""","""['reference-to-DIV']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""but bernita you got two lamps you got""","""Alice: so i'm taking these\nAlice: since you're letting me have one\nAlice: since you're letting me have one <laughter>""",23
NaN,"""seg023-0037""",132.125,133.64,"""A""","""[]""","""[]""","""['R2 L0 P1']""","""[]""","""[]""","""[]""","""['Statement']""","""['confirm-CONT']""","""['reference-to-DIV']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""i have two lamps and a crate""","""Alice: so i'm taking these\nAlice: since you're letting me have one\nAlice: since you're letting me have one <laughter>\nBob: but bernita\nBob: you got two lamps you got""",23
NaN,"""seg023-0041""",134.06,138.08,"""A""","""[]""","""[]""","""[]""","""[]""","""[]""","""['records']""","""['Statement']""","""[]""","""['ITEM-is-generally-valuable']""","""[]""",0,0,0,0,0,0,0,0,0,0,0,0,"""the three crates together are the most valuable item that we have""","""Alice: since you're letting me have one <laughter>\nBob: but bernita\nBob: you got two lamps you got\nAlice: i have two lamps and a crate""",23
